"scenario","pair","variant","fps","frame_mean_ms","frame_p99_ms","cpu_submit_ms","gpu_ms","terrain_draws","triangles","rebuild_ms","rebuilt","terrain_upload_calls","hud_gpu_ms","hud_cpu_ms","sky_gpu_ms","terrain_gpu_ms"
"day_command","1","before","350.740486","2.851111","4.898200","1.446396","0.994603","42.000000","22890.000000","0.005781","0.000000","0.000000","0.046863","0.716925","0.026781","0.751993"
"day_command","1","after","316.196119","3.162594","6.150100","0.860486","1.453222","42.000000","22890.000000","0.006890","0.000000","0.000000","0.075775","0.203138","0.038388","1.095784"
"day_command","2","after","306.701097","3.260503","7.449700","1.086982","1.143967","42.000000","22890.000000","0.007610","0.000000","0.000000","0.055105","0.271939","0.030648","0.868210"
"day_command","2","before","431.062632","2.319849","3.805500","1.128209","0.826703","42.000000","22890.000000","0.005042","0.000000","0.000000","0.042192","0.578808","0.022805","0.622956"
"day_command","3","before","296.053445","3.377769","7.720000","1.168677","1.707951","42.000000","22890.000000","0.006582","0.000000","0.000000","0.090579","0.584446","0.048955","1.280701"
"day_command","3","after","482.050179","2.074473","3.768200","0.664510","0.736165","42.000000","22890.000000","0.004501","0.000000","0.000000","0.036509","0.161431","0.019904","0.557795"
"night_command","1","before","404.313104","2.473331","4.513200","1.092435","1.005218","42.000000","22890.000000","0.005523","0.000000","0.000000","0.046221","0.536907","0.038464","0.754642"
"night_command","1","after","415.238736","2.408253","4.313200","0.745236","0.884792","42.000000","22890.000000","0.005472","0.000000","0.000000","0.043032","0.179415","0.034282","0.660555"
"night_command","2","after","410.888153","2.433752","6.010600","0.640894","1.158340","42.000000","22890.000000","0.004945","0.000000","0.000000","0.061490","0.153293","0.042797","0.868747"
"night_command","2","before","475.082328","2.104898","3.732300","0.987278","0.775186","42.000000","22890.000000","0.004474","0.000000","0.000000","0.037778","0.500809","0.029083","0.581628"
"night_command","3","before","512.859438","1.949852","3.693200","0.917873","0.716300","42.000000","22890.000000","0.004305","0.000000","0.000000","0.035878","0.459026","0.027308","0.535756"
