"scenario","pair","variant","fps","frame_mean_ms","frame_p99_ms","cpu_submit_ms","gpu_ms","terrain_draws","triangles","rebuild_ms","rebuilt","terrain_upload_calls","hud_gpu_ms","hud_cpu_ms","sky_gpu_ms","terrain_gpu_ms"
"day_command","1","before","85.714003","11.666705","4.349900","1.277089","9.840584","42.000000","22890.000000","0.007971","0.000000","0.000000","0.218566","0.602065","0.049539","9.347147"
"day_command","1","after","280.118767","3.569914","5.575300","1.073856","2.964767","42.000000","22890.000000","0.008983","0.000000","0.000000","0.104044","0.206902","0.022524","2.675949"
"day_command","2","after","701.480193","1.425557","3.466000","0.744424","0.866962","42.000000","22890.000000","0.003791","0.000000","0.000000","0.055946","0.189757","0.023747","0.652863"
"day_command","2","before","873.075360","1.145376","2.705000","0.993941","0.690217","42.000000","22890.000000","0.003029","0.000000","0.000000","0.040246","0.525053","0.021171","0.517199"
"day_command","3","before","696.242184","1.436282","3.904200","1.217227","0.868527","42.000000","22890.000000","0.004436","0.000000","0.000000","0.051061","0.659479","0.023802","0.655730"
"day_command","3","after","739.004991","1.353171","4.993100","0.768872","0.770980","42.000000","22890.000000","0.004085","0.000000","0.000000","0.046151","0.190141","0.022474","0.577258"
"night_command","1","before","727.894835","1.373825","3.504900","1.170774","0.971198","42.000000","22890.000000","0.004325","0.000000","0.000000","0.057924","0.608401","0.035726","0.726450"
"night_command","1","after","589.287287","1.696965","2.940100","0.545977","1.617044","42.000000","22890.000000","0.003714","0.000000","0.000000","0.084965","0.121764","0.055372","1.222830"
"night_command","2","after","936.263839","1.068075","2.363700","0.624664","0.792871","42.000000","22890.000000","0.002768","0.000000","0.000000","0.041962","0.159058","0.031544","0.590884"
"night_command","2","before","853.819062","1.171208","2.786400","1.013097","0.810693","42.000000","22890.000000","0.002832","0.000000","0.000000","0.043889","0.513880","0.031655","0.605427"
"night_command","3","before","655.969553","1.524461","3.328900","1.306469","0.862034","42.000000","22890.000000","0.005509","0.000000","0.000000","0.043994","0.680914","0.033975","0.645228"
"night_command","3","after","805.050025","1.242159","2.777400","0.693650","0.691495","42.000000","22890.000000","0.003287","0.000000","0.000000","0.038237","0.177193","0.027788","0.513049"
"night_toggle","1","before","584.499198","1.710866","4.184300","1.517894","0.782776","42.000000","22890.000000","0.004635","0.000000","0.000000","0.079871","0.970559","0.030508","0.549827"
"night_toggle","1","after","461.864218","2.165139","5.257200","1.198170","1.676323","42.000000","22890.000000","0.007569","0.000000","0.000000","0.171875","0.275355","0.060901","1.196131"
"night_toggle","2","after","829.025051","1.206236","2.790400","0.651573","0.852408","42.000000","22890.000000","0.002709","0.000000","0.000000","0.089574","0.164711","0.030621","0.602525"
"night_toggle","2","before","562.720815","1.777080","4.253800","1.564296","1.004254","42.000000","22890.000000","0.004064","0.000000","0.000000","0.099229","1.017884","0.036827","0.714033"
"night_toggle","3","before","530.904997","1.883576","4.451000","1.655336","1.005378","42.000000","22890.000000","0.004979","0.000000","0.000000","0.099648","1.020472","0.035923","0.717302"
"night_toggle","3","after","655.997093","1.524397","3.743900","0.713715","1.310982","42.000000","22890.000000","0.004818","0.000000","0.000000","0.130378","0.167059","0.043973","0.929604"
