"scenario","pair","variant","frame","frame_ms","hud_cpu_ms","hud_upload_calls","shadow_draws"
"day_toggle","1","before","30","2.162500","0.462300","0","0"
"day_toggle","1","before","90","2.602100","1.090400","0","0"
"day_toggle","1","before","150","2.070100","0.581900","0","0"
"day_toggle","1","before","210","2.602000","1.136800","0","0"
"day_toggle","1","before","270","2.271500","0.656900","0","0"
"day_toggle","1","before","330","2.250900","0.562800","0","0"
"day_toggle","1","before","390","1.998400","0.556500","0","0"
"day_toggle","1","before","450","2.076900","0.548300","0","0"
"day_toggle","1","before","510","2.515500","0.821600","0","0"
"day_toggle","1","before","570","2.763300","0.711200","0","0"
"day_toggle","1","after","30","2.173300","0.523500","20","0"
"day_toggle","1","after","90","2.479600","0.296200","0","0"
"day_toggle","1","after","150","1.905900","0.144900","0","0"
"day_toggle","1","after","210","2.526500","0.248400","0","0"
"day_toggle","1","after","270","2.867200","0.216500","0","0"
"day_toggle","1","after","330","2.964300","0.252100","0","0"
"day_toggle","1","after","390","2.868000","0.259800","0","0"
"day_toggle","1","after","450","3.756100","0.264400","0","0"
"day_toggle","1","after","510","3.552100","0.286100","0","0"
"day_toggle","1","after","570","2.983100","0.303700","0","0"
"day_toggle","2","after","30","2.587900","0.480500","20","0"
"day_toggle","2","after","90","3.403900","0.157800","0","0"
"day_toggle","2","after","150","3.319600","0.258800","0","0"
"day_toggle","2","after","210","3.339400","0.222300","0","0"
"day_toggle","2","after","270","3.668400","0.244100","0","0"
"day_toggle","2","after","330","3.614400","0.332300","0","0"
"day_toggle","2","after","390","3.097600","0.212700","0","0"
"day_toggle","2","after","450","5.588500","0.432500","0","0"
"day_toggle","2","after","510","4.065100","0.265400","0","0"
"day_toggle","2","after","570","4.096000","0.312200","0","0"
"day_toggle","2","before","30","5.110300","0.802300","0","0"
"day_toggle","2","before","90","3.254400","1.131300","0","0"
"day_toggle","2","before","150","2.854900","1.102100","0","0"
"day_toggle","2","before","210","3.244800","1.430400","0","0"
"day_toggle","2","before","270","2.002100","0.561900","0","0"
"day_toggle","2","before","330","2.360600","0.627500","0","0"
"day_toggle","2","before","390","2.459100","0.635300","0","0"
"day_toggle","2","before","450","2.496700","0.641800","0","0"
"day_toggle","2","before","510","3.242300","0.976900","0","0"
"day_toggle","2","before","570","3.008300","1.122600","0","0"
"day_toggle","3","before","30","9.028700","1.006600","0","0"
"day_toggle","3","before","90","4.744600","0.568200","0","0"
"day_toggle","3","before","150","4.730800","0.626900","0","0"
"day_toggle","3","before","210","9.630300","0.529200","0","0"
"day_toggle","3","before","270","4.653900","0.548900","0","0"
"day_toggle","3","before","330","5.018300","0.728700","0","0"
"day_toggle","3","before","390","11.148500","1.437400","0","0"
"day_toggle","3","before","450","5.369100","0.752700","0","0"
"day_toggle","3","before","510","8.071400","0.456800","0","0"
"day_toggle","3","before","570","7.830100","2.710800","0","0"
"day_toggle","3","after","30","5.051900","0.504300","20","0"
"day_toggle","3","after","90","5.248900","0.132000","0","0"
"day_toggle","3","after","150","2.890100","0.080200","0","0"
"day_toggle","3","after","210","3.318500","0.106400","0","0"
"day_toggle","3","after","270","4.085600","0.291700","0","0"
"day_toggle","3","after","330","5.483700","0.437300","0","0"
"day_toggle","3","after","390","1.848500","0.225100","0","0"
"day_toggle","3","after","450","2.270400","0.145600","0","0"
"day_toggle","3","after","510","2.568700","0.232000","0","0"
"day_toggle","3","after","570","4.682000","0.316900","0","0"
"night_toggle","1","before","30","3.689300","0.620000","0","0"
"night_toggle","1","before","90","3.781200","0.514500","0","0"
"night_toggle","1","before","150","3.590200","1.407700","0","0"
"night_toggle","1","before","210","2.287000","0.537300","0","0"
"night_toggle","1","before","270","4.271000","1.098400","0","0"
"night_toggle","1","before","330","3.569800","0.900800","0","0"
"night_toggle","1","before","390","6.138300","1.084400","0","0"
"night_toggle","1","before","450","5.565000","1.962200","0","0"
"night_toggle","1","before","510","2.277100","0.733400","0","0"
"night_toggle","1","before","570","2.483800","0.681800","0","0"
"night_toggle","1","after","30","3.286100","0.549000","20","0"
"night_toggle","1","after","90","2.831500","0.087700","0","0"
"night_toggle","1","after","150","3.089300","0.099200","0","0"
"night_toggle","1","after","210","3.034800","0.106200","0","0"
"night_toggle","1","after","270","3.299500","0.080900","0","0"
"night_toggle","1","after","330","3.064500","0.130100","0","0"
"night_toggle","1","after","390","5.237000","0.550000","0","0"
"night_toggle","1","after","450","3.025100","0.242000","0","0"
"night_toggle","1","after","510","5.160400","0.564900","0","0"
"night_toggle","1","after","570","3.571100","0.168800","0","0"
"night_toggle","2","after","30","9.178700","1.522800","20","0"
