suite,variant,frames,nonfinal_above_16_667_ms,nonfinal_max_ms,final_drain_max_ms,initial_geometry_upload_bytes
dawn1080-final,base,1800,0,4.177900,406.647000,13353624
dawn1080-final,candidate,1800,0,9.248200,354.938000,13353624
day1080-final,base,18000,2,27.706300,471.705600,13353624
day1080-final,candidate,18000,0,5.555400,385.864000,13353624
day720-final,base,18000,0,6.499200,216.631500,13353624
day720-final,candidate,18000,0,9.053600,28.760400,13353624
dusk1080-f3-final,base,1800,0,6.932900,244.387000,13353624
dusk1080-f3-final,candidate,1800,0,5.265300,190.470100,13353624
night1080-final,base,18000,0,9.846300,520.937400,13353624
night1080-final,candidate,18000,1,20.732900,419.691600,13353624
translate720-final,base,3000,0,5.504700,1.508200,13353624
translate720-final,candidate,3000,0,3.803800,2.522100,13353624
wall1080-final,base,3000,1,25.050000,1050.949800,13353624
wall1080-final,candidate,3000,0,4.708400,706.425700,13353624
