suite,batch,pair,variant,scenario,fps,frame_mean_ms,frame_median_ms,frame_p95_ms,frame_p99_ms,one_percent_low_fps,cpu_submit_mean_ms,gpu_mean_ms,terrain_draws,triangles,surface_blocks,queries,rebuild_mean_ms,chunks_rebuilt,upload_calls,upload_bytes,gpu_p99_ms,cloud_gpu_mean_ms,cloud_gpu_p95_ms,cloud_gpu_p99_ms,cloud_cpu_mean_ms,cloud_draws
diagnostic-dawn1080,dawn1080,1,base,surface_still,604.915910,1.653122,0.864750,1.862900,2.434300,14.809253,0.792861,1.567126,42.000000,22890.000000,22344.000000,0.000000,0.004636,0.000000,0.000000,0.000000,3.575572,0.227896,0.241540,0.267956,0.078026,1.000000
diagnostic-dawn1080,dawn1080,1,candidate,surface_still,650.826208,1.536508,0.877300,2.000500,2.887200,18.750873,0.834465,1.466372,42.000000,22890.000000,22344.000000,0.000000,0.005092,0.000000,0.000000,0.000000,3.306524,0.129011,0.120068,1.064648,0.085338,1.000000
diagnostic-dawn1080,dawn1080,2,candidate,surface_still,644.059395,1.552652,0.885650,1.816600,2.468700,17.987941,0.826784,1.466591,42.000000,22890.000000,22344.000000,0.000000,0.004702,0.000000,0.000000,0.000000,3.447028,0.114709,0.124072,0.168064,0.086414,1.000000
diagnostic-dawn1080,dawn1080,2,base,surface_still,552.337220,1.810488,0.914900,2.200400,3.035600,13.298524,0.852681,1.654230,42.000000,22890.000000,22344.000000,0.000000,0.004755,0.000000,0.000000,0.000000,5.650112,0.238647,0.252148,0.878436,0.086509,1.000000
diagnostic-dawn1080,dawn1080,3,base,surface_still,585.101844,1.709104,1.027800,2.087100,2.677700,17.011046,0.902117,1.629716,42.000000,22890.000000,22344.000000,0.000000,0.005547,0.000000,0.000000,0.000000,3.382704,0.237331,0.247780,0.277108,0.088461,1.000000
diagnostic-dawn1080,dawn1080,3,candidate,surface_still,621.525478,1.608945,1.182650,2.336400,3.379200,30.141560,1.086345,1.520443,42.000000,22890.000000,22344.000000,0.000000,0.005872,0.000000,0.000000,0.000000,2.862600,0.118725,0.129844,0.233272,0.130449,1.000000
dawn1080-final,dawn1080-final,1,base,surface_still,599.356231,1.668457,0.917200,1.940100,2.438800,15.671779,0.846008,1.579848,42.000000,22890.000000,22344.000000,0.000000,0.004101,0.000000,0.000000,0.000000,2.849080,0.230044,0.242112,0.253968,0.085073,1.000000
dawn1080-final,dawn1080-final,1,candidate,surface_still,627.302789,1.594126,0.838150,1.942000,2.830300,16.116425,0.795576,1.492139,42.000000,22890.000000,22344.000000,0.000000,0.005195,0.000000,0.000000,0.000000,3.413176,0.117359,0.118612,0.128648,0.081283,1.000000
dawn1080-final,dawn1080-final,2,candidate,surface_still,641.249804,1.559455,0.854100,1.722200,2.337600,16.758653,0.791255,1.464600,42.000000,22890.000000,22344.000000,0.000000,0.004424,0.000000,0.000000,0.000000,2.807792,0.115574,0.125372,0.170196,0.082795,1.000000
dawn1080-final,dawn1080-final,2,base,surface_still,585.624500,1.707579,0.892150,1.850800,2.487700,14.254910,0.809792,1.600393,42.000000,22890.000000,22344.000000,0.000000,0.004713,0.000000,0.000000,0.000000,3.242512,0.244010,0.245908,1.060852,0.081469,1.000000
