"trial","revision","mode","fps","mean_ms","median_ms","p95_ms","p99_ms","gpu_ms","terrain_gpu_ms"
"1","before","active","238.31409","4.196143","4.1566","5.2402","5.572","2.274523","2.062193"
"1","after","active","542.668878","1.842744","1.73705","2.5997","3.0828","0.603729","0.431569"
"1","before","chat","442.785213","2.258431","2.135","3.2333","3.6749","0.772685","0.490358"
"1","after","chat","393.584287","2.540752","2.39175","3.5067","4.1696","0.991049","0.664658"
"2","before","active","248.927424","4.017235","3.924","4.9197","5.3961","2.131991","1.945329"
"2","after","active","541.68941","1.846076","1.75205","2.6673","3.0799","0.616693","0.442571"
"2","before","chat","339.471852","2.945752","2.51665","5.208","7.4242","1.348293","0.879489"
"2","after","chat","412.491565","2.424292","2.28925","3.4437","4.0702","0.920111","0.619085"
"3","before","active","250.230358","3.996318","3.90015","4.995","5.3992","2.138553","1.946841"
"3","after","active","521.522721","1.917462","1.8314","2.8367","3.4006","0.686679","0.492599"
"3","before","chat","414.4948","2.412576","2.30525","3.3144","3.8829","0.923099","0.585893"
"3","after","chat","354.9709","2.817132","2.23265","7.1275","8.9004","1.217663","0.808982"
