phase,trial,revision,sky_gpu_mean_ms,sky_cpu_mean_ms,sky_gpu_p95_ms,sky_gpu_p99_ms,terrain_gpu_mean_ms,terrain_cpu_mean_ms,terrain_gpu_p95_ms,terrain_gpu_p99_ms,hud_gpu_mean_ms,hud_cpu_mean_ms,hud_gpu_p95_ms,hud_gpu_p99_ms,cloud_gpu_mean_ms,cloud_gpu_p95_ms,cloud_gpu_p99_ms,cloud_cpu_mean_ms,cloud_draws,scenario,fps,frame_mean_ms,frame_median_ms,frame_p95_ms,frame_p99_ms,one_percent_low_fps,cpu_submit_mean_ms,gpu_mean_ms,terrain_draws,triangles,surface_blocks,queries,rebuild_mean_ms,chunks_rebuilt,upload_calls,upload_bytes,gpu_p99_ms
0.125,1,base,0.257512,0.090345,0.282880,0.459680,0.714067,0.067565,1.149096,1.560884,0.054322,0.427390,0.066716,0.482456,0.111500,0.135616,0.279968,0.060784,1.000000,surface_still,798.004032,1.253127,0.864950,1.403400,1.821800,28.616370,0.771258,1.230951,42.000000,22890.000000,22344.000000,0.000000,0.002266,0.000000,0.000000,0.000000,2.196220
0.125,1,before,0.001402,0.000034,0.001976,0.003120,0.709070,0.247948,1.116960,2.295436,0.051315,0.512763,0.050492,0.334308,0.001222,0.001612,0.003276,0.000090,0.000000,surface_still,1046.859343,0.955238,0.889250,1.516800,1.894000,481.050615,0.834078,0.857727,42.000000,22890.000000,22344.000000,0.000000,0.001951,0.000000,0.000000,0.000000,2.775500
0.125,1,clouds,0.528779,0.088741,0.573612,0.736268,0.722380,0.065420,1.314300,1.603420,0.057653,0.414784,0.065312,0.428168,0.296861,0.328640,0.552240,0.056528,1.000000,surface_still,579.637844,1.725215,0.849100,1.557900,1.960000,12.327568,0.746845,1.696665,42.000000,22890.000000,22344.000000,0.000000,0.002562,0.000000,0.000000,0.000000,2.630888
0.125,1,glow,0.546849,0.090531,0.595192,1.400464,0.746668,0.065958,1.465464,1.826656,0.049788,0.470976,0.056056,0.127036,0.001187,0.001820,0.003172,0.000099,0.000000,surface_still,683.562120,1.462925,0.867400,1.552400,1.828600,17.849233,0.751777,1.438821,42.000000,22890.000000,22344.000000,0.000000,0.002365,0.000000,0.000000,0.000000,3.434704
0.125,1,intro,0.371880,0.090475,0.411944,0.665444,0.735537,0.067336,1.254500,1.698372,0.056474,0.464564,0.056368,0.497796,0.001105,0.001612,0.002132,0.000104,0.000000,surface_still,781.623816,1.279388,0.833000,1.413700,2.055500,25.638265,0.748526,1.258651,42.000000,22890.000000,22344.000000,0.000000,0.002442,0.000000,0.000000,0.000000,2.502708
0.125,2,base,0.259100,0.091119,0.284440,0.660816,0.725425,0.069055,1.234584,1.681108,0.050502,0.407911,0.054340,0.362960,0.111433,0.120380,0.303836,0.061666,1.000000,surface_still,794.212941,1.259108,0.855050,1.449100,2.007300,27.961052,0.756150,1.241032,42.000000,22890.000000,22344.000000,0.000000,0.002725,0.000000,0.000000,0.000000,2.960360
0.125,2,before,0.001386,0.000031,0.002808,0.003952,0.770227,0.178572,1.901172,2.990572,0.060070,0.446150,0.138008,0.424372,0.001280,0.003120,0.003692,0.000086,0.000000,surface_still,1041.207884,0.960423,0.753950,1.306400,1.789400,61.182973,0.688498,0.938270,42.000000,22890.000000,22344.000000,0.000000,0.001891,0.000000,0.000000,0.000000,3.512184
0.125,2,clouds,0.528842,0.085896,0.573352,0.733148,0.714636,0.062486,1.272544,1.623648,0.062451,0.397723,0.061776,0.541944,0.296107,0.324376,0.547040,0.055178,1.000000,surface_still,581.652584,1.719239,0.813100,1.451300,1.998400,11.805246,0.713656,1.692973,42.000000,22890.000000,22344.000000,0.000000,0.002021,0.000000,0.000000,0.000000,2.708264
0.125,2,glow,0.536335,0.089707,0.583440,1.179828,0.731314,0.068199,1.365936,1.644240,0.052271,0.473427,0.055536,0.437528,0.001061,0.001612,0.002392,0.000097,0.000000,surface_still,697.276079,1.434152,0.846200,1.542700,1.868400,19.028524,0.756016,1.412987,42.000000,22890.000000,22344.000000,0.000000,0.002454,0.000000,0.000000,0.000000,2.913456
0.125,2,intro,0.370890,0.092835,0.396188,0.704340,0.728512,0.069059,1.270516,1.692860,0.050513,0.470800,0.061256,0.354328,0.001122,0.001664,0.002288,0.000092,0.000000,surface_still,790.808173,1.264529,0.834100,1.455100,2.150500,26.500386,0.759250,1.244891,42.000000,22890.000000,22344.000000,0.000000,0.002349,0.000000,0.000000,0.000000,2.272816
0.125,3,base,0.259959,0.095971,0.310336,0.409656,0.728149,0.070785,1.229072,1.553292,0.050953,0.424287,0.059956,0.350272,0.116171,0.145704,0.460408,0.063090,1.000000,surface_still,787.896233,1.269203,0.857050,1.510000,1.917200,28.818748,0.784210,1.250505,42.000000,22890.000000,22344.000000,0.000000,0.002272,0.000000,0.000000,0.000000,2.192736
0.125,3,before,0.001400,0.000030,0.002028,0.003120,0.722753,0.241711,1.209052,1.979692,0.053396,0.522000,0.056420,0.354952,0.001186,0.001560,0.003068,0.000088,0.000000,surface_still,1042.983977,0.958787,0.892000,1.568100,2.097000,418.932978,0.838004,0.875753,42.000000,22890.000000,22344.000000,0.000000,0.002000,0.000000,0.000000,0.000000,2.442024
0.125,3,clouds,0.540807,0.095511,0.585208,1.277484,0.731784,0.067953,1.299792,1.538264,0.062723,0.428873,0.100152,0.507832,0.307808,0.342888,0.710528,0.055493,1.000000,surface_still,568.220722,1.759880,0.891150,1.536700,1.971800,12.373708,0.774816,1.735641,42.000000,22890.000000,22344.000000,0.000000,0.002710,0.000000,0.000000,0.000000,3.842280
0.125,3,glow,0.523362,0.096236,0.571636,0.595920,0.713370,0.066957,1.223352,1.531608,0.051189,0.466864,0.050804,0.381784,0.001065,0.001560,0.001716,0.000101,0.000000,surface_still,713.938604,1.400681,0.845600,1.489000,2.082200,19.836160,0.756377,1.378971,42.000000,22890.000000,22344.000000,0.000000,0.002147,0.000000,0.000000,0.000000,2.233712
0.125,3,intro,0.386767,0.089977,0.807300,0.877604,0.756067,0.067099,1.438476,1.731652,0.051275,0.465656,0.090480,0.104988,0.001135,0.002288,0.002704,0.000090,0.000000,surface_still,761.148156,1.313805,0.842450,1.383000,1.816900,23.323243,0.746858,1.291717,42.000000,22890.000000,22344.000000,0.000000,0.002345,0.000000,0.000000,0.000000,2.753140
0.625,1,base,0.321969,0.093657,0.349648,0.604656,0.713501,0.069166,1.164592,1.700712,0.056970,0.433942,0.068692,0.424736,0.111733,0.118820,0.207012,0.060998,1.000000,surface_still,755.635815,1.323389,0.844850,1.525200,1.966300,24.339724,0.783025,1.298242,42.000000,22890.000000,22344.000000,0.000000,0.002584,0.000000,0.000000,0.000000,2.435316
0.625,1,before,0.001401,0.000040,0.002080,0.004264,0.724052,0.235106,1.071460,2.314312,0.058607,0.498728,0.135772,0.403208,0.001232,0.001768,0.003692,0.000087,0.000000,surface_still,1067.782096,0.936521,0.857250,1.554400,1.955900,316.510785,0.806199,0.882499,42.000000,22890.000000,22344.000000,0.000000,0.001888,0.000000,0.000000,0.000000,2.798120
0.625,1,clouds,0.583880,0.088370,0.629616,0.804544,0.720221,0.066428,1.247740,1.668316,0.061487,0.417330,0.066872,0.481052,0.298076,0.321360,0.608712,0.055631,1.000000,surface_still,560.733305,1.783379,0.859400,1.568300,1.965900,11.457803,0.747134,1.755561,42.000000,22890.000000,22344.000000,0.000000,0.002484,0.000000,0.000000,0.000000,2.759796
0.625,1,glow,0.593150,0.091664,0.650832,1.211080,0.730440,0.065143,1.372540,1.588912,0.050438,0.456685,0.053404,0.376168,0.001114,0.001716,0.002184,0.000107,0.000000,surface_still,668.877828,1.495041,0.823300,1.501800,1.895000,16.380584,0.732888,1.468244,42.000000,22890.000000,22344.000000,0.000000,0.002347,0.000000,0.000000,0.000000,2.876900
0.625,1,intro,0.418920,0.092383,0.454376,0.638508,0.721976,0.068215,1.262924,1.691612,0.052221,0.485977,0.056472,0.386776,0.001151,0.001716,0.002028,0.000101,0.000000,surface_still,765.634935,1.306105,0.866550,1.541700,1.976100,25.371427,0.775080,1.286048,42.000000,22890.000000,22344.000000,0.000000,0.002590,0.000000,0.000000,0.000000,2.366000
