suite,trial,variant,frames,over_5_ms,final_frames_over_5_ms,max_frame_ms,max_nonterminal_frame_ms
accepted-chat-history,pair-1-base-frames,base,600,0,0,4.2205,4.0823
accepted-chat-history,pair-1-candidate-frames,candidate,600,0,0,3.7849,3.7849
accepted-chat-history,pair-2-base-frames,base,600,0,0,4.1484,3.8552
accepted-chat-history,pair-2-candidate-frames,candidate,600,0,0,3.3975,3.3975
accepted-chat-history,pair-3-base-frames,base,600,0,0,3.5215,3.5215
accepted-chat-history,pair-3-candidate-frames,candidate,600,0,0,4.0632,4.0632
accepted-chat-narrow,pair-1-base-frames,base,600,0,0,3.1434,3.1434
accepted-chat-narrow,pair-1-candidate-frames,candidate,600,0,0,2.482,2.482
accepted-chat-narrow,pair-2-base-frames,base,600,0,0,2.9028,2.9028
accepted-chat-narrow,pair-2-candidate-frames,candidate,600,0,0,2.5125,2.5125
accepted-chat-narrow,pair-3-base-frames,base,600,0,0,2.4436,2.4436
accepted-chat-narrow,pair-3-candidate-frames,candidate,600,0,0,3.1942,3.1942
accepted-chat-open,pair-1-base-frames,base,600,1,1,56.6337,3.0831
accepted-chat-open,pair-1-candidate-frames,candidate,600,0,0,3.0246,3.0246
accepted-chat-open,pair-2-base-frames,base,600,1,1,55.598,4.5276
accepted-chat-open,pair-2-candidate-frames,candidate,600,0,0,4.2358,4.2358
accepted-chat-open,pair-3-base-frames,base,600,1,1,125.7871,3.0751
accepted-chat-open,pair-3-candidate-frames,candidate,600,0,0,3.0506,2.9943
accepted-dawn1080,pair-1-base-frames,base,6000,10,10,526.1606,4.8839
accepted-dawn1080,pair-1-candidate-frames,candidate,6000,10,9,289.6703,5.2932
accepted-dawn1080,pair-2-base-frames,base,6000,10,10,517.0765,3.8582
accepted-dawn1080,pair-2-candidate-frames,candidate,6000,8,8,283.0765,4.5604
accepted-dawn1080,pair-3-base-frames,base,6000,11,10,492.0816,5.6978
accepted-dawn1080,pair-3-candidate-frames,candidate,6000,8,8,262.544,4.004
accepted-day1080,pair-1-base-frames,base,6000,10,10,421.376,3.9765
accepted-day1080,pair-1-candidate-frames,candidate,6000,8,8,279.803,3.1061
accepted-day1080,pair-2-base-frames,base,6000,10,10,401.6289,3.947
accepted-day1080,pair-2-candidate-frames,candidate,6000,8,8,353.6857,3.1087
accepted-day1080,pair-3-base-frames,base,6000,9,9,396.6533,3.3184
accepted-day1080,pair-3-candidate-frames,candidate,6000,8,8,209.5571,3.6901
accepted-day1080-cloud-layer-repeat,pair-1-base-frames,base,600,0,0,2.6025,2.6025
accepted-day1080-cloud-layer-repeat,pair-1-candidate-frames,candidate,600,0,0,2.8617,2.8617
accepted-day1080-cloud-layer-repeat,pair-2-base-frames,base,600,0,0,3.3222,3.3222
accepted-day1080-cloud-layer-repeat,pair-2-candidate-frames,candidate,600,0,0,3.8337,3.8337
accepted-day1080-cloud-layer-repeat,pair-3-base-frames,base,600,0,0,2.953,2.953
accepted-day1080-cloud-layer-repeat,pair-3-candidate-frames,candidate,600,0,0,3.1686,3.1686
accepted-day1080-cloud-layer-repeat,pair-4-base-frames,base,600,0,0,2.9121,2.9121
accepted-day1080-cloud-layer-repeat,pair-4-candidate-frames,candidate,600,1,0,5.2665,5.2665
accepted-day1080-cloud-layer-repeat,pair-5-base-frames,base,600,0,0,2.6871,2.6871
accepted-day1080-cloud-layer-repeat,pair-5-candidate-frames,candidate,600,0,0,4.2323,4.2323
accepted-day720,pair-1-base-frames,base,6000,2,2,78.105,3.3475
accepted-day720,pair-1-candidate-frames,candidate,6000,1,1,35.5617,4.8125
accepted-day720,pair-2-base-frames,base,6000,3,3,65.5596,3.2371
accepted-day720,pair-2-candidate-frames,candidate,6000,1,1,22.5325,2.9552
accepted-day720,pair-3-base-frames,base,6000,3,3,65.4565,3.6048
accepted-day720,pair-3-candidate-frames,candidate,6000,1,1,25.0181,2.9322
accepted-debug1080,pair-1-base-frames,base,600,1,1,73.2325,3.6733
accepted-debug1080,pair-1-candidate-frames,candidate,600,0,0,3.1907,3.1907
accepted-debug1080,pair-2-base-frames,base,600,1,1,43.6062,4.2384
accepted-debug1080,pair-2-candidate-frames,candidate,600,0,0,3.9294,3.9294
accepted-debug1080,pair-3-base-frames,base,600,1,1,68.5616,4.1389
accepted-debug1080,pair-3-candidate-frames,candidate,600,0,0,3.5579,3.5579
accepted-dusk1080,pair-1-base-frames,base,6000,10,10,568.0352,3.6163
accepted-dusk1080,pair-1-candidate-frames,candidate,6000,9,9,330.7737,4.3266
accepted-dusk1080,pair-2-base-frames,base,6000,10,10,525.0953,3.2638
accepted-dusk1080,pair-2-candidate-frames,candidate,6000,8,8,338.3487,4.0429
accepted-dusk1080,pair-3-base-frames,base,6000,10,10,566.0645,3.6129
accepted-dusk1080,pair-3-candidate-frames,candidate,6000,9,9,311.1448,2.9485
accepted-night1080,pair-1-base-frames,base,6000,10,10,440.5482,3.4148
accepted-night1080,pair-1-candidate-frames,candidate,6000,11,9,288.7415,6.2504
accepted-night1080,pair-2-base-frames,base,6000,11,10,464.0623,6.6682
accepted-night1080,pair-2-candidate-frames,candidate,6000,10,8,286.554,9.8054
accepted-night1080,pair-3-base-frames,base,6000,10,10,488.6285,4.0187
accepted-night1080,pair-3-candidate-frames,candidate,6000,9,9,388.7783,4.4852
accepted-night1080-sky-moving-repeat,pair-1-base-frames,base,600,0,0,2.5788,2.5788
accepted-night1080-sky-moving-repeat,pair-1-candidate-frames,candidate,600,0,0,2.4246,2.4246
accepted-night1080-sky-moving-repeat,pair-2-base-frames,base,600,1,1,81.1318,2.5659
accepted-night1080-sky-moving-repeat,pair-2-candidate-frames,candidate,600,0,0,2.496,2.496
accepted-night1080-sky-moving-repeat,pair-3-base-frames,base,600,0,0,2.4015,2.4015
accepted-night1080-sky-moving-repeat,pair-3-candidate-frames,candidate,600,0,0,2.6124,2.4178
accepted-night1080-sky-moving-repeat,pair-4-base-frames,base,600,1,1,6.8868,2.4975
accepted-night1080-sky-moving-repeat,pair-4-candidate-frames,candidate,600,0,0,2.5672,2.5672
accepted-night1080-sky-moving-repeat,pair-5-base-frames,base,600,0,0,3.6844,3.6844
accepted-night1080-sky-moving-repeat,pair-5-candidate-frames,candidate,600,0,0,3.3793,3.3793
accepted-night720,pair-1-base-frames,base,6000,8,7,95.5071,5.0402
accepted-night720,pair-1-candidate-frames,candidate,6000,2,2,31.1849,4.2368
accepted-night720,pair-2-base-frames,base,6000,5,5,82.3679,2.8077
accepted-night720,pair-2-candidate-frames,candidate,6000,3,3,29.0604,2.8042
accepted-night720,pair-3-base-frames,base,6000,5,5,103.2533,2.9009
accepted-night720,pair-3-candidate-frames,candidate,6000,2,2,17.83,3.1109
accepted-night720-cloud-layer-repeat,pair-1-base-frames,base,600,1,0,6.0388,6.0388
accepted-night720-cloud-layer-repeat,pair-1-candidate-frames,candidate,600,0,0,3.1706,3.1706
accepted-night720-cloud-layer-repeat,pair-2-base-frames,base,600,0,0,2.3906,2.3906
accepted-night720-cloud-layer-repeat,pair-2-candidate-frames,candidate,600,0,0,2.8353,2.3027
accepted-night720-cloud-layer-repeat,pair-3-base-frames,base,600,0,0,2.2179,2.2179
accepted-night720-cloud-layer-repeat,pair-3-candidate-frames,candidate,600,0,0,2.6143,2.6143
accepted-night720-cloud-layer-repeat,pair-4-base-frames,base,600,0,0,2.175,2.175
accepted-night720-cloud-layer-repeat,pair-4-candidate-frames,candidate,600,0,0,2.9709,2.9709
accepted-night720-cloud-layer-repeat,pair-5-base-frames,base,600,0,0,2.7222,2.7222
accepted-night720-cloud-layer-repeat,pair-5-candidate-frames,candidate,600,0,0,2.2158,2.2158
accepted-night720-edits-repeat,pair-1-base-frames,base,600,0,0,2.8322,2.8322
accepted-night720-edits-repeat,pair-1-candidate-frames,candidate,600,0,0,2.8492,2.8492
accepted-night720-edits-repeat,pair-2-base-frames,base,600,0,0,3.0475,2.8331
accepted-night720-edits-repeat,pair-2-candidate-frames,candidate,600,0,0,3.1568,3.0778
accepted-night720-edits-repeat,pair-3-base-frames,base,600,0,0,4.1221,3.1495
accepted-night720-edits-repeat,pair-3-candidate-frames,candidate,600,0,0,3.4189,3.4189
accepted-night720-edits-repeat,pair-4-base-frames,base,600,0,0,3.2383,3.2383
accepted-night720-edits-repeat,pair-4-candidate-frames,candidate,600,1,0,5.8267,5.8267
accepted-night720-edits-repeat,pair-5-base-frames,base,600,0,0,4.4919,4.4919
accepted-night720-edits-repeat,pair-5-candidate-frames,candidate,600,0,0,4.3775,3.2734
