suite,cohort,pair,variant,scenario,fps,frame_mean_ms,frame_median_ms,frame_p95_ms,frame_p99_ms,one_percent_low_fps,cpu_submit_mean_ms,gpu_mean_ms,terrain_draws,triangles,surface_blocks,queries,rebuild_mean_ms,chunks_rebuilt,upload_calls,upload_bytes,gpu_p99_ms,cloud_gpu_mean_ms,cloud_gpu_p95_ms,cloud_gpu_p99_ms,cloud_cpu_mean_ms,cloud_draws,sky_gpu_mean_ms,sky_cpu_mean_ms,sky_gpu_p95_ms,sky_gpu_p99_ms,terrain_gpu_mean_ms,terrain_cpu_mean_ms,terrain_gpu_p95_ms,terrain_gpu_p99_ms,hud_gpu_mean_ms,hud_cpu_mean_ms,hud_gpu_p95_ms,hud_gpu_p99_ms
order-day1080,diagnostic,1,base,underground,891.788854,1.121342,0.854150,1.529400,1.980200,47.221116,0.794080,1.099037,42.000000,22890.000000,22344.000000,0.000000,0.001921,0.000000,0.000000,0.000000,3.312504,0.111082,0.117052,0.304200,0.064692,1.000000,0.267795,0.102737,0.275288,0.730288,0.652100,0.072408,1.447368,1.894048,0.055707,0.422423,0.101868,0.445900
order-day1080,diagnostic,1,base,surface_still,816.407394,1.224879,0.483800,0.909200,1.375700,14.235200,0.402014,1.188874,42.000000,22890.000000,22344.000000,0.000000,0.001957,0.000000,0.000000,0.000000,2.125656,0.106909,0.119132,0.126204,0.018384,1.000000,0.252210,0.016123,0.281476,0.303212,0.690879,0.017054,1.140464,1.604616,0.048981,0.308783,0.048516,0.433264
order-day1080,diagnostic,1,base,overview,988.856575,1.011269,0.425450,0.848600,1.428700,18.347109,0.384676,0.982860,48.000000,25464.000000,25601.000000,0.000000,0.001709,0.000000,0.000000,0.000000,1.875016,0.000890,0.001092,0.001196,0.000145,0.000000,0.269415,0.015399,0.281476,0.286936,0.664963,0.017278,1.082328,1.555580,0.043695,0.336435,0.048932,0.051012
order-day1080,diagnostic,1,base,sky,1422.824910,0.702827,0.372500,0.627500,1.095200,32.609121,0.336874,0.683297,0.000000,0.000000,0.000000,0.000000,0.001285,0.000000,0.000000,0.000000,1.352156,0.259431,0.341380,0.357500,0.002750,1.000000,0.308035,0.013719,0.403364,0.422656,0.060043,0.009471,0.339404,0.530764,0.052303,0.298613,0.051740,0.457184
order-day1080,diagnostic,1,base,translate,901.669757,1.109053,0.483950,0.952400,1.437800,17.482329,0.451965,1.082802,41.228333,23682.750000,22078.183333,0.000000,0.001725,0.000000,0.000000,0.000000,2.142868,0.109546,0.135564,0.391456,0.024498,1.000000,0.254158,0.015656,0.314392,0.330824,0.591792,0.070464,0.989924,1.514240,0.049802,0.315371,0.049972,0.434200
order-day1080,diagnostic,1,base,rotate,1027.923367,0.972835,0.511400,0.964000,1.450800,24.088840,0.480757,0.953394,41.503333,23165.943333,22304.370000,0.000000,0.001699,0.000000,0.000000,0.000000,1.979068,0.106042,0.114348,0.129636,0.030542,1.000000,0.255935,0.015537,0.275132,0.314184,0.519803,0.094149,0.894088,1.488448,0.049685,0.318366,0.047892,0.440024
order-day1080,diagnostic,1,base,seam_edits,812.912519,1.230145,1.020150,1.667600,2.049700,66.247614,0.999080,1.214673,42.000000,22896.000000,22345.500000,0.000000,0.476561,2.000000,4.000000,167664.000000,2.231788,0.115084,0.167024,0.425880,0.025346,1.000000,0.254910,0.016747,0.361140,0.405704,0.701885,0.566651,1.107496,1.547884,0.049224,0.326846,0.060580,0.432692
order-day1080,diagnostic,1,base,sky_moving,1374.450163,0.727564,0.430700,1.048400,1.840000,45.391651,0.430649,0.712415,0.000000,0.000000,0.000000,0.000000,0.002216,0.000000,0.000000,0.000000,1.427244,0.264680,0.342888,0.343512,0.003735,1.000000,0.313108,0.017472,0.403000,0.404248,0.068674,0.022128,0.368472,0.584272,0.062346,0.370239,0.053768,0.597012
order-day1080,diagnostic,1,base,wall_moving,1048.652220,0.953605,0.547300,1.204700,1.749300,32.218484,0.559211,0.935921,26.770000,15140.680000,14573.851667,0.000000,0.002658,0.000000,0.000000,0.000000,1.768728,0.107917,0.137852,0.139984,0.023768,1.000000,0.253225,0.018050,0.327808,0.330460,0.509788,0.093678,0.906412,1.322100,0.048590,0.379329,0.050492,0.442468
order-day1080,diagnostic,1,base,cloud_layer,1526.136616,0.655249,0.361150,0.752000,1.094900,38.930097,0.338985,0.639260,0.000000,0.000000,0.000000,0.000000,0.001339,0.000000,0.000000,0.000000,1.360736,0.272746,0.338572,0.340808,0.002765,1.000000,0.249744,0.014707,0.313508,0.314704,0.059177,0.011157,0.318084,0.582036,0.054040,0.297884,0.048672,0.449384
order-day1080,diagnostic,1,candidate,underground,1030.029479,0.970846,0.894750,1.586300,2.090500,420.394751,0.851468,0.817602,42.000000,22890.000000,22344.000000,0.000000,0.002044,0.000000,0.000000,0.000000,2.941848,0.110100,0.117988,0.380640,0.072328,1.000000,0.028693,0.117285,0.037180,0.092976,0.610028,0.089786,0.955240,2.220660,0.058261,0.456329,0.055640,0.436852
