suite,trial,variant,generation_ms,mesh_upload_ms,geometry_upload_bytes,query_objects,cpu_block_bytes
accepted-chat-history,pair-1-base,base,27.018300,59.202600,13353624,0,4194304
accepted-chat-history,pair-1-candidate,candidate,29.324500,61.716600,13353624,0,4194304
accepted-chat-history,pair-2-base,base,25.040400,56.748400,13353624,0,4194304
accepted-chat-history,pair-2-candidate,candidate,31.881400,61.317100,13353624,0,4194304
accepted-chat-history,pair-3-base,base,29.815600,65.646000,13353624,0,4194304
accepted-chat-history,pair-3-candidate,candidate,29.176500,62.139200,13353624,0,4194304
accepted-chat-narrow,pair-1-base,base,30.839000,56.597200,13353624,0,4194304
accepted-chat-narrow,pair-1-candidate,candidate,30.997800,62.035300,13353624,0,4194304
accepted-chat-narrow,pair-2-base,base,30.227300,54.241100,13353624,0,4194304
accepted-chat-narrow,pair-2-candidate,candidate,32.097500,59.419200,13353624,0,4194304
accepted-chat-narrow,pair-3-base,base,26.975100,56.406500,13353624,0,4194304
accepted-chat-narrow,pair-3-candidate,candidate,26.603500,62.681700,13353624,0,4194304
accepted-chat-open,pair-1-base,base,31.688500,54.621700,13353624,0,4194304
accepted-chat-open,pair-1-candidate,candidate,28.725100,60.432000,13353624,0,4194304
accepted-chat-open,pair-2-base,base,29.152700,64.790900,13353624,0,4194304
accepted-chat-open,pair-2-candidate,candidate,28.279900,60.764000,13353624,0,4194304
accepted-chat-open,pair-3-base,base,31.996700,60.335900,13353624,0,4194304
accepted-chat-open,pair-3-candidate,candidate,29.218600,65.315800,13353624,0,4194304
accepted-dawn1080,pair-1-base,base,29.478300,61.499900,13353624,0,4194304
accepted-dawn1080,pair-1-candidate,candidate,30.953000,63.498500,13353624,0,4194304
accepted-dawn1080,pair-2-base,base,26.460800,65.261900,13353624,0,4194304
accepted-dawn1080,pair-2-candidate,candidate,29.084800,66.838400,13353624,0,4194304
accepted-dawn1080,pair-3-base,base,29.196200,57.010000,13353624,0,4194304
accepted-dawn1080,pair-3-candidate,candidate,28.948300,65.572400,13353624,0,4194304
accepted-day1080,pair-1-base,base,28.262800,59.535400,13353624,0,4194304
accepted-day1080,pair-1-candidate,candidate,30.325200,60.832200,13353624,0,4194304
accepted-day1080,pair-2-base,base,27.966800,63.707000,13353624,0,4194304
accepted-day1080,pair-2-candidate,candidate,31.344900,57.735700,13353624,0,4194304
accepted-day1080,pair-3-base,base,29.510400,54.857300,13353624,0,4194304
accepted-day1080,pair-3-candidate,candidate,31.813100,63.518400,13353624,0,4194304
accepted-day1080-cloud-layer-repeat,pair-1-base,base,28.400300,58.298600,13353624,0,4194304
